"instalacao","sigla","classe","campo","operador_grupo","operador_concessao","situacao","lamina_m","ano_inicio","idade_calculada","idade_anp","lat","lon","uf"
"ADMARINE 511","PA-39","Sonda","","CONSTELLATION","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","21","2025","1","3","","",""
"ALPHA STAR","SS-83","Unidade Semissubmersível","","CONSTELLATION","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Abandono 7-ESP-10H-RJS","0","2011","15","11","-22.72732361","-40.44247944",""
"AMARALINA STAR","NS-43","Navio Sonda","","CONSTELLATION","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 7-BUZ-117DA-RJS","0","2012","14","11","-24.62562028","-42.44949667",""
"ARABIA I","PA-38","Sonda","","","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Abandono 7-CM-41D-SES","0","2022","4","0","-11.01393306","-36.98845389",""
"ATLANTIC STAR","SS-45","Unidade Semissubmersível","","CONSTELLATION","","Operando","0","2021","5","2","","",""
"ATLANTIC ZONDA","NS-61","Sonda","","VENTURA","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 7-BUZ-118D-RJS","0","2025","1","8","-24.70042667","-42.42791889",""
"BETA","SS-88","Unidade Semissubmersível","","BASSDRILL","","","1180","2014","12","9","-23.51706167","-41.06198",""
"BRAVA STAR","NS-45","Navio Sonda","","CONSTELLATION","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","0","2015","11","7","","",""
"BRAVA STAR.","NS-45.","Navio Sonda","","CONSTELLATION","PETRÓLEO BRASILEIRO S.A.","","0","2015","11","7","","",""
"CAROLINA","NS-29","Navio Sonda","","VENTURA","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Completação 8-BUZ-107-RJS","0","2020","6","11","-24.69536861","-42.45149583",""
"DEAL-1","DEAL-1","Sonda","","PRIO","PRIO BRAVO LTDA.","Operando","0","2007","19","16","","",""
"DEEPWATER AQUILA","NS-60","Navio Sonda","","TRANSOCEAN","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 7-BR-86C-RJS","0","2024","2","-1","-22.59983333","-40.2325",""
"DEEPWATER CORCOVADO","NS-40","Navio Sonda","","TRANSOCEAN","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Completação 8-JUB-83DA-ESS","0","2011","15","11","-21.2605275","-39.97890972",""
"DEEPWATER MYKONOS","NS-39","Navio Sonda","","TRANSOCEAN","","Operando","0","2011","15","11","","",""
"DEEPWATER ORION","NS-56","Navio Sonda","","TRANSOCEAN","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","0","2023","3","11","","",""
"DHIRUBHAI DEEPWATER KG2","NS-57","Navio Sonda","","TRANSOCEAN","","Operando","0","2023","3","13","","",""
"DRILLINGRIG-A","DR-A","Sonda","","EQUINOR","EQUINOR BRASIL ENERGIA LTDA.","","0","2010","16","13","","",""
"DRILLINGRIG-B","DR-B","Sonda","","PRIO","PRIO TIGRIS S.A","Operando","122","2011","15","13","","",""
"ETESCO TAKATSUGU J","NS-38","Navio Sonda","","ETESCO","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","0","2012","14","11","","",""
"FPSO ALEXANDRE DE GUSMÃO","FPADG","Unidade Flutuante","MERO","","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1890","2025","1","-1","-24.55964917","-42.18826083",""
"FPSO ALMIRANTE BARROSO","FPBAR","Unidade Flutuante","BÚZIOS","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1900","2023","3","2","-24.5925325","-42.56725167",""
"FPSO ALMIRANTE TAMANDARE","FPTAM","Unidade Flutuante","BÚZIOS","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1985","2025","1","-2","-24.74358333","-42.51331944",""
"FPSO ANITA GARIBALDI","FPAGA","Unidade Flutuante","MARLIM","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","670","2023","3","-1","-22.39583639","-40.10831417",""
"FPSO ANNA NERY","FPANE","Unidade Flutuante","MARLIM","YINSON","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","927","2023","3","0","-22.46391639","-40.05731667",""
"FPSO ATLANTA","FPSOATLANTA","Unidade Flutuante","ATLANTA","YINSON","BRAVA ENERGIA S.A.","","1550","2024","2","-1","-24.09909722","-41.88699167","RJ"
"FPSO BACALHAU","FPSO BACALHAU","Unidade Flutuante","BACALHAU","MODEC","EQUINOR BRASIL ENERGIA LTDA.","Em Construção","2100","2025","1","-2","-25.47606333","-43.93906806",""
"FPSO BRAVO","Bravo","Unidade Flutuante","TUBARÃO MARTELO","PRIO","PRIO BRAVO LTDA.","Operando","105","2013","13","9","-23.13582222","-41.07353056","RJ"
"FPSO CAPIXABA","CAPX","Unidade Flutuante","JUBARTE","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","1473","2006","20","12","-21.23596111","-39.95699722","ES"
"FPSO CARIOCA","FPSO_CRC","Unidade Flutuante","SÉPIA","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2140","2021","5","4","-25.22704306","-42.5702525",""
"FPSO CIDADE DE ANCHIETA","FCDA","Unidade Flutuante","JUBARTE","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1221","2012","14","10","-21.33756667","-40.05720278","ES"
"FPSO CIDADE DE ANGRA DOS REIS","FPCAR","Unidade Flutuante","TUPI","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2140","2010","16","12","-25.54481667","-42.84021389",""
"FPSO CIDADE DE CAMPOS DOS GOYTACAZES","FPCGZ","Unidade Flutuante","TARTARUGA VERDE","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","765","2018","8","6","-22.95337917","-40.72554611",""
"FPSO CIDADE DE CARAGUATATUBA - CCG (MV-27)","FPCCG","Unidade Flutuante","LAPA","","TOTALENERGIES EP BRASIL LTDA.","","2140","2016","10","6","-25.51872556","-43.46654667","SP"
"FPSO CIDADE DE CARAGUATATUBA - CCG (MV-27)","FPCCG","Unidade Flutuante","LAPA","MODEC","TOTALENERGIES EP BRASIL LTDA.","","2140","2016","10","6","-25.51872556","-43.46654667","SP"
"FPSO CIDADE DE ILHABELA","FPCIB","Unidade Flutuante","SAPINHOÁ","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2140","2014","12","9","-25.67280556","-43.20619167","SP"
"FPSO CIDADE DE ITAGUAÍ","FPCIG","Unidade Flutuante","TUPI","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2240","2015","11","7","-25.14156917","-42.94469694",""
"FPSO CIDADE DE ITAJAÍ","FPCI","Unidade Flutuante","BAÚNA","OOG TK","KAROON PETRÓLEO & GÁS LTDA.","Operando","275","2013","13","10","-26.46462444","-46.53012444",""
"FPSO CIDADE DE MANGARATIBA","FPCMB","Unidade Flutuante","TUPI","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2200","2014","12","8","-25.20407778","-42.87856389",""
"FPSO CIDADE DE MARICÁ","FPCMC","Unidade Flutuante","TUPI","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2120","2016","10","7","-25.44884861","-42.75307194",""
"FPSO CIDADE DE NITEROI","FPNT","Unidade Flutuante","MARLIM LESTE","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","1330","2009","17","13","-22.4966","-39.93740278",""
"FPSO CIDADE DE PARATY","FPCP","Unidade Flutuante","TUPI","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2120","2012","14","9","-25.39437222","-42.76180278",""
