"protocolo","ano","tipo_pdi","status_pdi","aprov_pdi","status_rdi","aprov_rdi","ciclo_anos","pendente_anos","campo","bacia","operador","classe","objeto"
"48610.000088/2015-01","2015","Integral","Aprovado","2025-07-15","","","","1.1","LINGUADO","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 12"
"48610.000089/2015-47","2015","Parcial","Aprovado","2025-12-11","","","","0.7","BICUDO","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 07"
"48610.000159/2015-67","2015","Integral","Aprovado","2016-03-03","Aprovado","2018-09-04","2.5","","GAVIÃO REAL","PARNAÍBA","ENEVA","CAMPO TERRA","GAVIÃO REAL"
"48610.000439/2015-75","2015","Integral","Aprovado","2016-06-17","Aprovado","2019-01-15","2.6","","URUTAU (LICITADO)","POTIGUAR","GALP ENERGIA","CAMPO TERRA","URUTAU"
"48610.000611/2016-71","2016","","Encerrado","","","","","","AGULHA","POTIGUAR","PETROBRAS","CAMPO MAR","AGULHA"
"48610.000699/2014-60","2014","","Encerrado","","","","","","DENTÃO","POTIGUAR","PETROBRAS","CAMPO MAR","DENTÃO"
"48610.000700/2014-56","2014","","Encerrado","","","","","","BIQUARA","POTIGUAR","PETROBRAS","CAMPO MAR","BIQUARA"
"48610.001273/2015-12","2015","Parcial","Aprovado","2015-07-24","Aprovado","","","11.1","MARLIM SUL","CAMPOS","PETROBRAS","CAMPO MAR","MARLIM SUL"
"48610.001368/2014-47","2014","","","","Aprovado","","","","CARATAÍ","CAMPOS","PETROBRAS","CAMPO MAR","CARATAÍ"
"48610.001707/2014-95","2014","Integral","Aprovado","2016-06-22","","","","10.1","RIO PRETO","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","RIO PRETO"
"48610.002058/2012-88","2012","","","","Recebido","","","","JUBARTE","CAMPOS","PETROBRAS","CAMPO MAR","P-34 - JUBARTE"
"48610.002209/2013-89","2013","Parcial","Aprovado","2013-12-05","","","","12.7","","","PETROBRAS","INSTALACAO MAR","PETROBRAS 27"
"48610.002392/2018-27","2018","Integral","Aprovado","2019-07-01","","","","7.1","PIRANEMA","SERGIPE","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE PIRANEMA"
"48610.002503/2012-18","2012","","Aprovado","2018-12-10","Aprovado","2019-01-10","0.1","","BARRA BONITA | BARRA BONITA (LICITADO)","PARANÁ","PETROBRAS","CAMPO TERRA","BARRA BONITA"
"48610.002833/2016-29","2016","","Aprovado","2020-11-30","","","","5.7","TIZIU","POTIGUAR","PETROBRAS","CAMPO TERRA","TIZIU"
"48610.002853/2014-38","2014","","","","Aprovado","2015-08-06","","","TUBARÃO AREIA | TUBARÃO GATO | TUBARÃO TIGRE","CAMPOS","EBX","CAMPO MAR","TUBARÃO AREIA | TUBARÃO GATO | TUBARÃO TIGRE"
"48610.003163/2013-15","2013","Integral","Aprovado","2015-12-21","Aprovado","2020-06-01","4.4","","SEBASTIÃO FERREIRA","ALAGOAS","PETROSYNERGY","CAMPO TERRA","SEBASTIÃO FERREIRA"
"48610.003210/2015-92","2015","","Aprovado","2019-07-01","","","","7.1","COLIBRI","POTIGUAR","UBUNTU ENGENHARIA","CAMPO TERRA","COLIBRI"
"48610.003669/2014-13","2014","Integral","Aprovado","2015-03-03","Aprovado","2015-04-09","0.1","","CARAPIA","SANTOS","PETROBRAS","CAMPO MAR","CARAPIÁ"
"48610.003711/2017-31","2017","Integral","Aprovado","2019-06-26","Aprovado","2023-08-04","4.1","","ALBATROZ","ESPÍRITO SANTO","PETROSYNERGY","CAMPO TERRA","ALBATROZ"
"48610.004266/2014-83","2014","Parcial","Aprovado","2015-10-02","","","","10.9","TUBARÃO AZUL","CAMPOS","DOMMO","CAMPO MAR","TUBARÃO AZUL"
"48610.004819/2015-89","2015","Integral","Aprovado","2015-08-27","Aprovado","2016-02-04","0.4","","BAUNA SUL","SANTOS","PETROBRAS","CAMPO MAR","BAUNA SUL | BAÚNA SUL"
"48610.005117/2016-01","2016","","","","Aprovado","","","","GOLFINHO","ESPÍRITO SANTO","PETROBRAS","CAMPO MAR","GOLFINHO (DEVOLUÇÃO PARCIAL)"
"48610.005154/2014-40","2014","","","","Aprovado","2017-12-26","","","MANATI","CAMAMU","PETROBRAS","CAMPO MAR","MANATI (DEVOLUÇÃO PARCIAL)"
"48610.005705/2015-56","2015","","Aprovado","2022-02-01","","","","4.5","ITAPARICA","RECÔNCAVO","PETROBRAS","CAMPO TERRA","ITAPARICA"
"48610.005880/2013-81","2013","Integral","Aprovado","2019-07-16","","","","7.1","GUAJÁ","POTIGUAR","PETROBRAS","CAMPO MAR","GUAJÁ"
"48610.005914/2015-08","2015","","Aprovado","2018-02-20","","","","8.5","MOSQUITO NORTE","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","MOSQUITO NORTE"
"48610.006041/2014-61","2014","","Recebido","","","","","","MORÉIA","CAMPOS","PETROBRAS","CAMPO MAR","MORÉIA"
