"instalacao","fase","superficie","operador","tipo","inicio","parada","removida","lamina_m","vida_projeto"
"1/2-1 IM Blane","IN SERVICE","N","Repsol Norge AS","SINGLE WELL TEMPLATE","2007-09-12","","","74","15"
"1/2-1 PE Blane","IN SERVICE","N","Repsol Norge AS","SINGLE WELL TEMPLATE","2007-09-12","","","74","15"
"1/2-1 PW Blane","IN SERVICE","N","Repsol Norge AS","SINGLE WELL TEMPLATE","2007-09-12","","","74","15"
"10/1-CDP1","PARTLY REMOVED","Y","","CONCRETE STRUCTURE","1979-09-01","","","100",""
"15/12-C Rev","SHUT DOWN","N","Repsol Norge AS","SINGLE WELL TEMPLATE","2009-01-26","2013-06-01","","113","10"
"15/12-D Rev","SHUT DOWN","N","Repsol Norge AS","SINGLE WELL TEMPLATE","2009-09-01","2013-06-01","","113","10"
"15/12-E-1 H Gaupe","REMOVED","N","","SINGLE WELL TEMPLATE","2012-03-31","","2025-06-30","87","15"
"15/5-A-5 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","","","2015-08-01","0",""
"15/5-A-7 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2007-11-30","","2015-08-01","109",""
"15/5-B-1 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2001-08-29","","2015-08-01","110",""
"15/6-A-1 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2001-08-29","","2015-08-01","112",""
"15/6-A-2 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2001-08-29","","2015-08-01","112",""
"15/6-A-3 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2001-08-29","","2015-08-01","112",""
"15/6-A-4 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2001-08-29","","2015-08-01","112",""
"15/6-A-5 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2003-09-30","","2015-08-01","112",""
"15/6-A-6 H Glitne","REMOVED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2004-08-01","","2015-08-01","112",""
"15/9-E","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2004-10-11","","","110","20"
"16/1-CA TROLDHAUGEN","IN SERVICE","N","Aker BP ASA","SINGLE WELL TEMPLATE","2021-06-30","","","106","25"
"16/1-CB TROLDHAUGEN","FUTURE","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","0",""
"16/4 SOLVEIG BA","IN SERVICE","N","Aker BP ASA","SINGLE WELL TEMPLATE","2021-09-30","","","100","25"
