"cik","empresa","aro_usd","tag","quadro","extraido"
"93410","Chevron Corp","14988000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"34088","Exxon Mobil Corporation","12518000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"1376986","TENNESSEE VALLEY AUTHORITY","9725000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"1326160","DUKE ENERGY CORPORATION","9625000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"92122","The Southern Company","9601000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"17797","DUKE ENERGY CORPORATION","9046000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"1004155","The Southern Company","8939000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"1163165","ConocoPhillips","8364000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"715957","DOMINION ENERGY, INC.","7587000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"1164727","NEWMONT CORPORATION","6800000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"1004980","PG&E CORP","5439000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"65984","ENTERGY CORPORATION","4947530000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"7323","ENTERGY CORPORATION","4947530000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"797468","Occidental Petroleum Corporation","4553000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"28385","DTE Energy Co","4469000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"936340","DTE Energy Co","4469000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"1692819","Vistra Corp.","4216000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"1032208","SEMPRA","3948000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"72903","Xcel Energy Inc.","3888000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"831259","Freeport-McMoRan Inc.","3836000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"92108","Sempra","3743000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"81027","AMERICAN ELECTRIC POWER CO INC.","3712000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"4904","AMERICAN ELECTRIC POWER CO INC.","3712000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"1721781","AEP TEXAS INC.","3712000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"753308","NEXTERA ENERGY INC","3685000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"37634","NEXTERA ENERGY, INC.","3669000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"1123852","NORTHERN STATES POWER CO","3215000000","AssetRetirementObligationsNoncurrent","CY2025Q4I","2026-08-12"
"1841666","APA CORPORATION","2880000000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
"1285785","MOSAIC CO","2601900000","AssetRetirementObligation","CY2025Q4I","2026-08-12"
