"COMPLEX_ID_NUM","STRUCTURE_NUMBER","REMOVAL_DISPOSITION"
"1798","1","To Shore"
"1803","1","To Shore"
"1805","1","To Shore"
"1806","1","To Shore"
"1807","1","To Shore"
"1815","1","To Shore"
"1816","1","To Shore"
"1817","1","To Shore"
"1818","1","To Shore"
"1820","1","To Shore"
"1825","1","To Shore"
"1826","1","To Shore"
"1827","1","To Shore"
"1828","1","Reuse"
"1829","1","To Shore"
"1830","1","To Shore"
"1835","1","To Shore"
"1836","1","To Shore"
"1839","1","Rigs-to-Reef"
"1840","1","To Shore"
"1841","1","To Shore"
"1842","1","To Shore"
"1843","1","To Shore"
"1846","1","To Shore"
"1847","1","To Shore"
"1849","1","To Shore"
"1851","1","To Shore"
"1851","2","To Shore"
"1856","1","To Shore"
"1857","1","To Shore"
"1858","1","To Shore"
"1859","1","To Shore"
"1861","1","To Shore"
"1868","1","Reuse"
"1869","1","To Shore"
"1869","2","To Shore"
"1871","1","To Shore"
"1872","1","To Shore"
"1875","1","To Shore"
"1877","1","To Shore"
"1879","1","To Shore"
"1881","1","To Shore"
"1884","1","To Shore"
"1889","1","To Shore"
"1891","1","To Shore"
"1893","1","To Shore"
"1894","1","To Shore"
"1895","1","To Shore"
"1897","1","To Shore"
"1900","1","To Shore"
"1904","1","To Shore"
"1906","1","To Shore"
"1907","1","To Shore"
"1909","1","To Shore"
"1910","1","Reuse"
"1915","1","To Shore"
"1922","1","To Shore"
"1926","1","To Shore"
"1929","1","To Shore"
"1931","1","To Shore"
"1932","1","To Shore"
"1935","1","To Shore"
"1938","1","Reuse"
"1940","1","To Shore"
"1941","1","To Shore"
"1942","1","Rigs-to-Reef"
"1947","1","Reuse"
"1948","1","To Shore"
"1952","1",""
"1957","1","To Shore"
"1960","1","To Shore"
"1963","1","To Shore"
"1964","1","To Shore"
"1967","1","To Shore"
"1968","1","To Shore"
"1970","1","To Shore"
"1971","1","To Shore"
"1972","1","To Shore"
"1973","1","To Shore"
"1974","1","To Shore"
"1980","1","To Shore"
"1981","1","To Shore"
"1982","1","To Shore"
"1983","1","To Shore"
"1984","1","To Shore"
"1986","1","To Shore"
"1987","1","Reuse"
"1988","1","To Shore"
"1989","1","To Shore"
"1993","1","To Shore"
"1994","1","To Shore"
"1995","1","To Shore"
