"estrutura","num","complexo","operador","tipo","estrutura_maior","contrato","contrato_status","contrato_ativo","instalada","removida","vida_anos","lamina_m","lat","lon"
"B","1","1613","Century Exploration New Orleans, LLC","FIXED","N","G04910","TERMIN","N","2005-01-21","2013-04-04","8.2","40","29.59953959","-88.72352247"
"A","1","124","Century Exploration New Orleans, LLC","FIXED","Y","G15110","TERMIN","N","1998-01-28","2014-09-30","16.7","184","28.33690894","-93.3459876"
"B","1","479","Century Exploration New Orleans, LLC","CAIS","Y","G16502","TERMIN","N","1999-06-22","2015-06-29","16","30","29.43138997","-89.12387316"
"1","1","777","Century Exploration New Orleans, LLC","CAIS","N","G21054","EXPIR","N","2000-08-22","2008-01-17","7.4","63","28.89170296","-93.24899495"
"B","1","956","Century Exploration New Orleans, LLC","FIXED","N","G32105","EXPIR","N","2001-07-18","2014-09-12","13.2","42","29.55757511","-93.16150423"
"CAIS.#1","1","1039","Century Exploration New Orleans, LLC","CAIS","N","G22544","RELINQ","N","2002-03-15","2008-03-28","6","72","28.88221448","-93.33294544"
"2","1","1742","Century Exploration New Orleans, LLC","CAIS","N","G22544","RELINQ","N","2005-07-27","2014-01-20","8.5","73","28.90528845","-93.36516627"
"7","1","1963","Century Exploration New Orleans, LLC","CAIS","N","G05315","TERMIN","N","2007-02-14","2013-12-31","6.9","75","28.91774052","-93.32231928"
"A","1","2154","Century Exploration New Orleans, LLC","CAIS","N","G31304","TERMIN","N","2009-02-04","2016-06-06","7.3","75","28.9292353","-93.26467282"
"SONAT","1","31023","Southern Natural Gas Company, L.L.C.","FIXED","N","","","","1972-03-20","2005-08-23","33.4","232","29.270709","-88.564073"
"B-VALVE","1","31024","Southern Natural Gas Company, L.L.C.","FIXED","N","","","","1972-03-20","2006-06-01","34.2","222","29.269731","-88.716797"
"A","1","1894","Knight Resources, LLC","FIXED","N","G26198","EXPIR","N","2006-07-26","2009-06-27","2.9","124","29.58426613","-87.8959041"
"A","1","1889","Knight Resources, LLC","FIXED","Y","G26189","TERMIN","N","2006-07-23","2009-07-01","2.9","106","29.92608976","-88.05528709"
"G","1","20172","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1959-01-01","2015-12-07","56.9","58","29.110347","-89.64092"
"A","1","20173","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1955-01-01","2016-10-10","61.8","58","29.10861","-89.643752"
"D","1","20176","Cochon Properties, LLC","FIXED","Y","00137","TERMIN","N","1957-01-01","2015-11-30","58.9","54","29.10535041","-89.6521991"
"B","1","21737","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1955-01-01","2015-11-16","60.9","54","29.106896","-89.61737"
"CQ","3","21814","Cochon Properties, LLC","FIXED","N","00138","TERMIN","N","1962-01-01","2016-01-05","54","53","29.10704","-89.631268"
"C","2","21814","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1956-01-01","2016-01-03","60","53","29.10704354","-89.63155298"
"H","1","21814","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1970-01-01","2016-10-14","46.8","53","29.105631","-89.631614"
"B","1","20922","Cochon Properties, LLC","FIXED","Y","","","","1958-01-01","2020-10-01","62.7","25","29.297696","-92.372219"
"B-AUX","2","20922","Cochon Properties, LLC","FIXED","Y","","","","1972-01-01","2020-10-01","48.8","25","29.297858","-92.37222"
"B-VALVE","3","20922","Cochon Properties, LLC","FIXED","N","","","","1959-07-16","","","25","29.29762111","-92.37263917"
"1","1","20923","Cochon Properties, LLC","WP","N","00560","TERMIN","N","1960-01-01","2014-08-09","54.6","26","29.301246","-92.376393"
"5","2","20923","Cochon Properties, LLC","CAIS","N","00560","TERMIN","N","1974-01-01","2014-12-04","40.9","26","29.300586","-92.376387"
"A","1","20925","Cochon Properties, LLC","FIXED","Y","00560","TERMIN","N","1957-01-01","2020-09-11","63.7","26","29.30885815","-92.38911372"
"B","1","21774","Fieldwood Energy LLC","FIXED","Y","G02163","RELINQ","N","1974-01-01","2019-08-13","45.6","210","28.525794","-90.09792"
"C","1","21898","Fieldwood Energy LLC","FIXED","Y","G02628","TERMIN","N","1975-01-01","2018-07-26","43.6","210","28.548886","-90.068677"
"A","1","22408","Fieldwood Energy LLC","FIXED","Y","G03414","TERMIN","N","1980-01-01","2019-09-09","39.7","35","29.161505","-89.752305"
"2","2","22408","Fieldwood Energy LLC","FIXED","N","G03414","TERMIN","N","1979-01-01","2019-09-10","40.7","35","29.161709","-89.75232"
"1","1","22464","Fieldwood Energy LLC","FIXED","N","G03414","TERMIN","N","1980-01-01","2019-09-03","39.7","35","29.161834","-89.774178"
"A","1","23063","Fieldwood Energy LLC","FIXED","Y","G04002","RELINQ","N","1982-03-22","2019-09-03","37.5","86","29.031436","-89.92407"
"A","1","23136","Fieldwood Energy LLC","FIXED","Y","G04003","TERMIN","N","1985-01-01","2018-07-20","33.5","225","28.575144","-90.072429"
"3","1","23447","Fieldwood Energy LLC","WP","N","G03414","TERMIN","N","1987-01-01","2019-09-07","32.7","35","29.163374","-89.765873"
"A","1","23871","Fieldwood Energy LLC","FIXED","N","G07877","TERMIN","N","1991-01-01","2018-10-14","27.8","102","29.92586","-88.478395"
"A-QRT","2","23886","Fieldwood Energy LLC","FIXED","Y","G05058","TERMIN","N","1991-01-01","2018-07-13","27.5","55","30.175634","-88.242338"
"Q-PRD","1","23886","Fieldwood Energy LLC","FIXED","Y","G05058","TERMIN","N","1991-01-01","2018-07-13","27.5","55","30.175634","-88.242338"
"JF","1","20752","Fieldwood Energy LLC","WP","N","00423","TERMIN","N","1967-01-01","2013-12-01","46.9","65","28.734628","-91.361791"
