"complexo","num","estrutura","operador","tipo","estrutura_maior","contrato","contrato_status","instalada","idade_anos","lamina_m","lat","lon"
"24103","1","C","Sanare Energy Partners, LLC","FIXED","Y","G05687","TERMIN","1992-03-27","34.4","375","28.71832","-89.393091"
"23932","1","A","Sanare Energy Partners, LLC","FIXED","Y","G05498","TERMIN","1990-01-01","36.6","80","28.732422","-91.607955"
"10128","1","A","Sanare Energy Partners, LLC","FIXED","Y","G03241","TERMIN","1979-01-01","47.6","182","28.355982","-93.955105"
"29040","1","JA","Sanare Energy Partners, LLC","FIXED","Y","G13563","TERMIN","1996-04-29","30.3","71","28.9240605","-93.15463911"
"1641","1","1","Sanare Energy Partners, LLC","CAIS","N","G23730","TERMIN","2005-01-26","21.5","26","29.70266672","-93.53982432"
"1641","2","G","Sanare Energy Partners, LLC","FIXED","Y","G23730","TERMIN","2005-10-06","20.8","26","29.70257243","-93.54003332"
"1639","1","2","Sanare Energy Partners, LLC","CAIS","N","G21534","TERMIN","2005-01-29","21.5","34","29.64665093","-93.56543151"
"783","1","B","Sanare Energy Partners, LLC","FIXED","N","G11383","TERMIN","2000-09-09","25.9","177","28.40485287","-93.94137798"
"1252","1","B","Sanare Energy Partners, LLC","FIXED","N","G21532","TERMIN","2003-05-24","23.2","34","29.65248163","-93.5690095"
"1398","1","2","Sanare Energy Partners, LLC","CAIS","N","G21532","TERMIN","2003-11-21","22.7","34","29.66092992","-93.56682698"
"1653","1","2","Sanare Energy Partners, LLC","CAIS","N","G23730","TERMIN","2005-03-13","21.4","26","29.70590878","-93.53052634"
"2050","1","A","Sanare Energy Partners, LLC","FIXED","N","G22268","TERMIN","2007-07-07","19.1","165","28.41132767","-93.88791867"
"2119","1","3","Sanare Energy Partners, LLC","CAIS","N","G21534","TERMIN","2008-07-17","18.1","37","29.63230887","-93.5656406"
"2275","1","D","Sanare Energy Partners, LLC","FIXED","Y","G25937","TERMIN","2009-10-03","16.9","55","29.33651852","-92.98828894"
"2469","1","B","Sanare Energy Partners, LLC","FIXED","N","G32207","RELINQ","2012-05-07","14.3","242","28.25926368","-91.06088608"
"21337","3","A-AUX2","Avocet LNG, LLC","FIXED","Y","G01997","TERMIN","1977-01-01","49.6","44","29.396268","-93.25159"
"20281","1","23","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1960-01-01","66.6","35","28.970884","-89.241993"
"20284","1","38","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1961-01-01","65.6","55","28.965606","-89.252423"
"20292","1","49","Nugulf Operating, L.L.C.","FIXED","N","00353","TERMIN","1958-01-01","68.6","36","28.978209","-89.24597"
"20297","1","5 Z","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1959-01-01","67.6","45","28.976433","-89.248071"
"20300","1","9 Z","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1959-01-01","67.6","35","28.97458","-89.246045"
"20302","1","Z","Nugulf Operating, L.L.C.","FIXED","Y","00694","TERMIN","1960-01-01","66.6","75","28.969785","-89.245275"
"20312","1","13 V","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1966-01-01","60.6","65","28.971302","-89.266766"
"20313","1","10","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1961-01-01","65.6","40","28.974491","-89.241906"
"20314","1","12","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1960-01-01","66.6","35","28.971236","-89.26264"
"20315","1","15","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1960-01-01","66.6","40","28.970951","-89.24612"
"20316","1","16","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1960-01-01","66.6","35","28.974646","-89.250172"
"20317","1","21 V","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1960-01-01","66.6","35","28.968475","-89.266812"
"20318","1","18","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1960-01-01","66.6","35","28.967585","-89.262702"
"20359","1","66","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1962-01-01","64.6","55","28.962832","-89.26305"
"20360","1","A71","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1962-01-01","64.6","45","28.965617","-89.244511"
"20366","1","130","Nugulf Operating, L.L.C.","FIXED","N","00353","TERMIN","1964-01-01","62.6","36","28.979663","-89.264674"
"20399","1","93","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1967-01-01","59.6","50","28.972683","-89.257287"
"20400","1","79","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1964-01-01","62.6","45","28.968552","-89.262495"
"20403","1","24","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1960-01-01","66.6","60","28.967321","-89.246195"
"20405","1","A17","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1960-01-01","66.6","35","28.971169","-89.259814"
"20407","1","1 V","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","1959-01-01","67.6","36","28.976691","-89.264579"
